BASMID,EDCPUB,SPUBCHOIX,SCONSIDR,SEENJOY,SEGRADES,SEABSNT,SEFUTUREX,SEGRADEQ,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSATCNFN,FSFUNDRS,FSCOMMTE,FSCOUNSLR,FSFREQ,FSNOTESX,FSMEMO,FCSCHOOL,FCTEACHR,FCSTDS,FCORDER,FCSUPPRT,FHHOME,FHWKHRS,FHAMOUNT,FHCAMT,FHPLACE,FHCHECKX,FHHELP,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,HDHEALTH,CDOBMM,CDOBYY,CSEX,CSPEAKX,HHTOTALXX,RELATION,P1REL,P1SEX,P1MRSTA,P1EMPL,P1HRSWK,P1MTHSWRK,P1AGE,P2GUARD,TTLHHINC,OWNRNTHB,DSBLTY,HHPARN16X,HHPARN16_BRD,NUMSIBSX,PARGRADEX,RACEETHN,INTACC,ALLGRADEX,CENREG,ZIPLOCL
20161001034,1,2,2,2,2,0,5,2,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,4,8,1,1,1,4,3,1,2,2,1,1,1,1,7,1,2,2,11,2002,1,3,5,1,1,2,5,1,30,12,47,1,1,1,2,1,1,2,2,3,1,7,2,12
20161001069,1,2,2,2,2,11,4,3,1,2,1,2,2,1,2,1,5,1,1,2,2,2,4,3,5,-1,-1,-1,-1,-1,-1,1,2,2,1,1,1,1,6,2,2,3,1,2000,2,2,3,1,2,2,1,1,40,12,41,1,4,1,2,1,1,0,2,1,2,10,1,42
20161001079,1,2,1,2,1,11,4,3,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,4,5,2,2,1,4,4,1,1,1,1,1,1,1,7,1,2,2,9,2009,2,2,4,1,1,2,1,1,40,12,44,1,5,1,1,1,1,1,3,1,1,K,4,21
20161001084,1,1,2,2,2,2,6,3,2,2,1,2,2,1,2,2,2,1,2,3,3,2,4,3,4,10,2,2,1,3,2,2,2,1,1,1,1,2,4,2,1,1,12,2000,1,2,4,1,1,2,1,1,40,12,54,1,9,1,2,1,1,1,4,1,1,10,2,21
20161001099,1,2,2,3,1,0,5,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,5,2,2,2,2,1,1,2,4,2,2,2,4,2000,1,2,4,1,1,2,1,1,30,10,46,1,10,1,2,1,1,1,4,1,1,10,2,42
20161001118,1,3,1,2,3,11,4,4,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,3,2,2,3,3,1,4,1,2,2,2,1,1,2,1,5,1,2,4,7,1998,1,2,4,1,1,2,1,7,-1,0,54,1,1,2,2,1,1,1,4,2,1,12,2,21
20161001128,1,2,2,2,1,5,6,2,1,1,1,1,1,1,1,1,25,1,1,3,1,2,4,1,3,3,1,1,2,2,1,1,2,1,1,2,1,1,6,2,2,2,8,1997,1,2,4,2,2,1,1,1,40,12,43,1,9,1,2,1,1,1,5,1,1,12,3,32
20161001134,1,1,1,1,5,3,4,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,3,3,1,1,2,4,1,1,1,1,2,2,2,1,7,2,2,1,10,2004,2,2,4,1,1,2,1,1,50,12,43,1,9,1,2,1,1,1,3,1,1,5,3,13
20161001137,1,2,2,1,5,2,5,3,1,2,1,1,1,1,2,2,7,1,1,2,2,2,2,2,4,5,1,1,1,4,3,1,2,1,1,1,1,1,3,2,1,1,2,2005,2,2,6,1,1,2,1,5,-1,0,40,1,9,1,2,1,1,3,4,1,1,5,1,21
20161001153,1,1,2,1,2,27,6,3,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,2,3,1,1,1,4,2,1,2,1,1,1,1,1,7,2,2,1,7,2001,1,3,4,2,1,1,1,1,40,12,48,1,4,1,2,1,1,1,1,3,1,8,2,11
20161001176,1,3,2,1,1,4,6,1,1,2,1,1,1,2,2,2,4,2,1,1,1,1,1,1,4,10,1,1,1,4,3,1,1,1,1,1,1,1,7,1,1,1,10,2007,2,5,5,2,1,1,1,1,45,12,45,1,2,2,2,1,1,2,1,3,1,3,1,11
20161001190,2,2,2,1,5,5,6,2,1,1,1,1,1,1,1,1,35,1,1,2,1,2,1,1,6,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,7,1,1,1,1,2010,2,5,3,2,1,1,1,2,40,12,62,1,3,2,2,1,1,0,4,1,1,K,2,21
20161001191,1,2,2,2,1,3,5,2,1,1,1,1,1,2,2,2,20,1,1,1,1,1,1,1,3,2,3,1,1,4,1,1,2,1,2,1,1,1,4,1,1,1,7,2002,1,2,3,1,1,2,1,1,60,10,48,1,10,1,2,1,1,0,5,1,1,8,3,21
20161001204,1,2,2,1,1,5,6,1,1,2,1,2,2,1,2,2,10,2,1,1,1,1,1,1,3,4,1,3,1,4,3,1,2,1,2,2,1,2,4,2,2,1,10,2004,2,2,4,1,1,2,1,1,30,6,44,1,7,1,2,1,1,1,3,1,1,5,3,31
20161001225,1,1,2,2,2,0,4,3,1,2,1,1,1,1,2,2,7,2,2,2,2,3,4,2,2,5,3,1,1,3,2,2,2,2,2,1,1,2,6,2,2,1,10,2002,2,2,4,5,5,2,1,6,-1,0,60,1,9,1,2,3,1,0,4,1,1,7,3,42
